_ - id	_ - year	_ - title	_ - termName	_ - termYear	_ - component	_ - externalCourseId	_ - subjectDescription	_ - classAcademicOrgDescription
53070	2018	Housing Tropes* and the Role of Design	Spring	2018	Seminar	200026	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
89692	2015	Livelihoods and Urban Form: Mumbai in a Comparative Perspective	Spring	2015	Seminar	200026	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
102425	2016	Living in the Kinetic City: Mapping Housing in a Landscape of Flux, Mumbai	Spring	2016	Seminar	200026	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
237131	2014	The Ephemeral City: Research Seminar on Temporal Urbanism	Spring	2014	Seminar	200026	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
324008	2013	Kinetic City: Research Seminar on Temporal Urbanism	Spring	2013	Seminar	200026	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
261078	2013.5	Design Learning Workshop	Fall	2013	Seminar	200027	Advanced Studies, Methods, and Propedeutics	Architecture
201744	2014	Cultivating Scale: Territorial Planting Strategies	Spring	2014	Seminar	200028	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
258793	2016.5	Ecology, Infrastructure, Power	Fall	2016	Seminar	200029	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
299936	2015.5	Ecology, Infrastructure, Power	Fall	2015	Seminar	200029	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
286424	2014	The Oceanic Turn: Advanced Landscape Infrastructure Seminar	Spring	2014	Seminar	200029	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
391973	2017.5	Ecology, Infrastructure, Power	Fall	2017	Seminar	200029	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
394050	2014	Urban Theory Lab, Project-Based Seminar: Extreme Territories of Urbanization	Spring	2014	Seminar	200030	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
102746	2014	Cold Storage - An Interactive Documentary Project	Spring	2014	Workshop	200031	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
84791	2016	Vegetal City 2: Plane Tree Mania	Spring	2016	Seminar	200032	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
122632	2015	Vegetal City: Projecting Urban Canopy	Spring	2015	Seminar	200032	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
187021	2014.5	Teaching Creativity: Landscape Architecture, Originality, and Autobiography	Fall	2014	Seminar	200033	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
93932	2014.5	Mapping Cultural Space: Sites, Systems, and Practices Across Eurasia	Fall	2014	Seminar	200034	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
219931	2016	SURPLUS HOUSING: Models of Collective Living in South America.	Spring	2016	Seminar	200035	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
333424	2015	SURPLUS HOUSING: Models of Collective Living in South America.	Spring	2015	Seminar	200035	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
376661	2017	SURPLUS HOUSING: From Project to Model	Spring	2017	Seminar	200035	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
229942	2015	Cyborg Coasts: Responsive Hydrologies	Spring	2015	Seminar Workshop	200036	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
122050	2016	Genome of the Built Environment: Measuring the Unseen	Spring	2016	Seminar	200037	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
376220	2015	REAL: Genome of the Built Environment: Measuring the Unseen	Spring	2015	Seminar	200037	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
216200	2015.5	The Architecture of Waste	Fall	2015	Seminar	200038	Advanced Studies, Methods, and Propedeutics	Architecture
322557	2015.5	South Florida Rise and Sink: the Case of Miami Beach	Fall	2015	Seminar	200039	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
391489	2015.5	Map the Gap	Fall	2015	Seminar	200040	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
137775	2017.5	Ecological Urbanism Field Research Seminar in China (summer course)	Fall	2017	Seminar	205344	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
162382	2017.5	Emergent Urbanism: Planning and Design Visions for the city of Hermosillo, Mexico	Fall	2017	Seminar	205464	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
168920	2018	Beyond Reconstruction: Mexico and the 2017 Earthquakes	Spring	2018	Seminar	207106	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
234627	2019	Miami Resilience: Housing & Infrastructure	Spring	2019	Seminar	207107	Advanced Studies, Methods, and Propedeutics	Architecture
367357	2018	Miami Resilience: Affordability and Health	Spring	2018	Seminar	207107	Advanced Studies, Methods, and Propedeutics	Architecture
1104204	2020	Miami Resilience: Housing & Infrastructure	Spring	2020	Seminar	207107	Advanced Studies, Methods, and Propedeutics	Architecture
37161	2018.5	Multiple Miamis Project-based Course: Infrastructure, Affordability, Identity + the Public	Fall	2018	Seminar	207974	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
192995	2019	Entanglement of Movement and Meaning: The Architect, Spatial Perception and the Technological Body	Spring	2019	Seminar Workshop	211342	Advanced Studies, Methods, and Propedeutics	Architecture
39992	1995	Independent Study by Candidates for Master's Degrees	Spring	1995	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
40190	2004.5	Independent Study by Candidates for Master's Degrees	Fall	2004	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
42166	1994	Independent Study by Candidates for Master's Degrees	Spring	1994	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
41783	2014.5	Independent Study by Candidates for Masters Degrees	Fall	2014	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
41756	2011	Independent Study by Candidates for Master's Degrees	Spring	2011	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
43410	2011.5	Special Independent Study by Candidates for Masters Degrees	Fall	2011	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
41158	2007.5	Independent Study by Candidates for Master's Degrees	Fall	2007	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
41245	1999	Planning Boston's Future: A Seminar Series/Independent Study	Spring	1999	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
41558	2016	Independent Study by Candidates for Master's Degrees	Spring	2016	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
41428	1994	Independent Study by Candidates for Master's Degrees	Spring	1994	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
41459	1994.5	Independent Study by Candidates for Master's Degrees	Fall	1994	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
43920	2000.5	Independent Study by Candidates for Master's Degrees	Fall	2000	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
44000	1997	Independent Study by Candidates for Master's Degrees	Spring	1997	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
43973	1997	Independent Study by Candidates for Master's Degrees	Spring	1997	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
36821	1995	Independent Study by Candidates for Master's Degrees	Spring	1995	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
38677	2011	Independent Study by Candidates for Master's Degrees	Spring	2011	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
40912	1998	Independent Study by Candidates for Master's Degrees	Spring	1998	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
43192	2002	Independent Study by Candidates for Master's Degrees	Spring	2002	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
43257	1994.5	Independent Study by Candidates for Master's Degrees	Fall	1994	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
43286	1995.5	Independent Study by Candidates for Master's Degrees	Fall	1995	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
43146	1999.5	Independent Study by Candidates for Master's Degrees	Fall	1999	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
38157	1997.5	Independent Study by Candidates for Master's Degrees	Fall	1997	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
37968	1998	Independent Study by Candidates for Master's Degrees	Spring	1998	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
38363	2015.5	Independent Study by Candidates for Masters Degrees	Fall	2015	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
38068	2011.5	Special Independent Study by Candidates for Masters Degrees	Fall	2011	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
40329	2015.5	Independent Study by Candidates for Masters Degrees	Fall	2015	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
40455	2011	Independent Study by Candidates for Master's Degrees	Spring	2011	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
40269	2009.5	Independent Study by Candidates for Master's Degrees	Fall	2009	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
42856	2000.5	Independent Study by Candidates for Master's Degrees	Fall	2000	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
42768	2013.5	Independent Study by Candidates for Masters Degrees	Fall	2013	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
45053	2010	Independent Study by Candidates for Master's Degrees	Spring	2010	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
45078	2014	Independent Study by Candidates for Masters Degrees	Spring	2014	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
46414	2000.5	Independent Study by Candidates for Master's Degrees	Fall	2000	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
50453	1998	Independent Study by Candidates for Master's Degrees	Spring	1998	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
52237	2013	Independent Study by Candidates for Masters Degrees	Spring	2013	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
53975	1996	Independent Study by Candidates for Master's Degrees	Spring	1996	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
53822	2000	Independent Study by Candidates for Master's Degrees	Spring	2000	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
55759	2010	Independent Study by Candidates for Master's Degrees	Spring	2010	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
55704	2000.5	Independent Study by Candidates for Master's Degrees	Fall	2000	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
57546	1999	Planning Boston's Future: A Seminar Series/Independent Study	Spring	1999	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
59214	2012	Independent Study by Candidates for Masters Degrees	Spring	2012	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
59507	1998.5	Independent Study by Candidates for Master's Degrees	Fall	1998	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
67618	2015	Independent Study by Candidates for Masters Degrees	Spring	2015	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
69933	2010.5	Independent Study by Candidates for Master's Degrees	Fall	2010	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
49726	1997	Independent Study by Candidates for Master's Degrees	Spring	1997	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
49997	1994.5	Independent Study by Candidates for Master's Degrees	Fall	1994	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
50110	2009.5	Independent Study by Candidates for Master's Degrees	Fall	2009	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
51644	2007	Independent Study by Candidates for Master's Degrees	Spring	2007	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
51833	2009.5	Independent Study by Candidates for Master's Degrees	Fall	2009	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
53584	2011	Independent Study by Candidates for Master's Degrees	Spring	2011	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
53679	2013	Independent Study by Candidates for Masters Degrees	Spring	2013	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
53367	2015.5	Independent Study by Candidates for Masters Degrees	Fall	2015	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
53394	1998	Independent Study by Candidates for Master's Degrees	Spring	1998	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
57063	2006	Independent Study by Candidates for Master's Degrees	Spring	2006	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
57286	2014	Independent Study by Candidates for Masters Degrees	Spring	2014	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
56994	2013	Independent Study by Candidates for Masters Degrees	Spring	2013	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
58782	2014.5	Independent Study by Candidates for Masters Degrees	Fall	2014	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
65038	1999	Planning Boston's Future: A Seminar Series/Independent Study	Spring	1999	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
66997	2013.5	Independent Study by Candidates for Masters Degrees	Fall	2013	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
67339	2001.5	Independent Study by Candidates for Master's Degrees	Fall	2001	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
45541	1994.5	Independent Study by Candidates for Master's Degrees	Fall	1994	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
49011	2001.5	Independent Study by Candidates for Master's Degrees	Fall	2001	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
50725	1995.5	Independent Study by Candidates for Master's Degrees	Fall	1995	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
50729	2007.5	Independent Study by Candidates for Master's Degrees	Fall	2007	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
52525	2015	Independent Study by Candidates for Masters Degrees	Spring	2015	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
54463	2009	Independent Study by Candidates for Master's Degrees	Spring	2009	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
54400	2015	Independent Study by Candidates for Masters Degrees	Spring	2015	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
56135	1998	Independent Study by Candidates for Master's Degrees	Spring	1998	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
58078	2013	Independent Study by Candidates for Masters Degrees	Spring	2013	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
66200	2008.5	Independent Study by Candidates for Master's Degrees	Fall	2008	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
68313	2007.5	Independent Study by Candidates for Master's Degrees	Fall	2007	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
47752	2015	Independent Study by Candidates for Masters Degrees	Spring	2015	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
47873	2006	Independent Study by Candidates for Master's Degrees	Spring	2006	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
47818	2000	Independent Study by Candidates for Master's Degrees	Spring	2000	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
51230	2007.5	Independent Study by Candidates for Master's Degrees	Fall	2007	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
53224	2001.5	Independent Study by Candidates for Master's Degrees	Fall	2001	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
53131	2004	Independent Study by Candidates for Master's Degrees	Spring	2004	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
52937	1994	Independent Study by Candidates for Master's Degrees	Spring	1994	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
53012	2003	Independent Study by Candidates for Master's Degrees	Spring	2003	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
56619	2000	Independent Study by Candidates for Master's Degrees	Spring	2000	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
58593	2013	Independent Study by Candidates for Masters Degrees	Spring	2013	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
58472	2011	Independent Study by Candidates for Master's Degrees	Spring	2011	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
58576	2005.5	Independent Study by Candidates for Master's Degrees	Fall	2005	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
63873	2012.5	Independent Study by Candidates for Masters Degrees	Fall	2012	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
64161	2014	Independent Study by Candidates for Masters Degrees	Spring	2014	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
64185	2011	Independent Study by Candidates for Master's Degrees	Spring	2011	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
63991	2007.5	Independent Study by Candidates for Master's Degrees	Fall	2007	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
66902	1997	Independent Study by Candidates for Master's Degrees	Spring	1997	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
68758	2006	Independent Study by Candidates for Master's Degrees	Spring	2006	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
68790	2007.5	Independent Study by Candidates for Master's Degrees	Fall	2007	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
60103	2000.5	Independent Study by Candidates for Master's Degrees	Fall	2000	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
60114	2011	Independent Study by Candidates for Master's Degrees	Spring	2011	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
59757	2007	Independent Study by Candidates for Master's Degrees	Spring	2007	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
59764	2012.5	Independent Study by Candidates for Masters Degrees	Fall	2012	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
60281	2011	Independent Study by Candidates for Master's Degrees	Spring	2011	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
60618	2009	Independent Study by Candidates for Master's Degrees	Spring	2009	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
61097	2005.5	Independent Study by Candidates for Master's Degrees	Fall	2005	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
61671	2015.5	Independent Study by Candidates for Masters Degrees	Fall	2015	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
62035	1998	Independent Study by Candidates for Master's Degrees	Spring	1998	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
62710	2012	Independent Study by Candidates for Masters Degrees	Spring	2012	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
63174	2000	Independent Study by Candidates for Master's Degrees	Spring	2000	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
70738	2001	Independent Study by Candidates for Master's Degrees	Spring	2001	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
71022	2011.5	Special Independent Study by Candidates for Masters Degrees	Fall	2011	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
73706	2013	Independent Study by Candidates for Masters Degrees	Spring	2013	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
73740	2005	Independent Study by Candidates for Master's Degrees	Spring	2005	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
73781	2000	Independent Study by Candidates for Master's Degrees	Spring	2000	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Architecture
75837	2004	Independent Study by Candidates for Master's Degrees	Spring	2004	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
77439	1999.5	Independent Study by Candidates for Master's Degrees	Fall	1999	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
77733	2003	Independent Study by Candidates for Master's Degrees	Spring	2003	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
77751	2008.5	Independent Study by Candidates for Master's Degrees	Fall	2008	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Urban Planning and Design
77612	1997	Independent Study by Candidates for Master's Degrees	Spring	1997	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
79177	2013.5	Independent Study by Candidates for Masters Degrees	Fall	2013	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
80826	2015.5	Independent Study by Candidates for Masters Degrees	Fall	2015	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Harvard Graduate School of Design
82997	2009	Independent Study by Candidates for Master's Degrees	Spring	2009	Independent Study	200041	Advanced Studies, Methods, and Propedeutics	Landscape Architecture
