id	title	termName	termYear	subjectDescription	subjectAcademicOrgDescription	subject	classAcademicOrgDescription	component	externalCourseId	courseDescriptionLong	year
194396	Afro-American Literature to the 1920s	Spring	1993	Afro-American Studies	Afro-American Studies	AFROAM	Afro-American Studies	Lecture with Sections	111780	"<p>A survey of the history of African-American literature from the slavery era to the eve of the Harlem Renaissance with a particular focus on the rapid development of African-American literary culture from a primarily oral tradition. Writers to be considered include Wheatley	 Equiano	 Hammon	 Horton	 Douglass	 Brown	 Wilson	 Jacobs	 Harper	 Chesnutt	 Dunbar	 Washington	 Johnson	 and Du Bois	 among others. Required of concentrators.</p>"	1993
232517	Afro-American Literature to the 1920s	Spring	1994	Afro-American Studies	Afro-American Studies	AFROAM	Afro-American Studies	Lecture with Sections	111780	"<p>A survey of the history of African-American literature from the slavery era to the eve of the Harlem Renaissance with a particular focus on the rapid development of African-American literary culture from a primarily oral tradition. Writers to be considered include Wheatley	 Equiano	 Hammon	 Horton	 Douglass	 Brown	 Wilson	 Jacobs	 Harper	 Chesnutt	 Dunbar	 Washington	 Johnson	 and Du Bois	 among others. Required of concentrators.</p>"	1994
167320	Afro-American Literature to the 1920s	Spring	1992	Afro-American Studies	Afro-American Studies	AFROAM	Afro-American Studies	Lecture with Sections	111780	"<p>A survey of the history of Afro-American literature from the slavery era to the eve of the Harlem Renaissance. In particular	 studies the rapid development of Afro-American literary culture from a primarily oral tradition	 taking into consideration the social	 political	 and cultural contexts in which the literature was shaped. Writers to be considered include Wheatley	 Equiano	 Hammon	 Horton	 Douglass	 Brown	 Wilson	 Jacobs	 Harper	 Chesnutt	 Dunbar	 Washington	 Johnson	 and Du Bois	 among others. Required of concentrators.</p>"	1992
57676	Modern African American Poetry	Fall	1998	Afro-American Studies	Afro-American Studies	AFROAM	Afro-American Studies	Seminar	122207	"<p>This course surveys African American poetry from Paul Laurence Dunbar to Queen Latifah. Among the issues the course takes up are the intersection of literacy and orality	 the question of audience	 the relation of ^'^'high'' culture	 ^'^'folk'' culture and ^'^'popular'' culture	 constructions of modernity and modernism (and post-modernism)	 the documentation of the ^'^'real'' or the ^'^'authentic	'' and the degree to which the works we study (written over a considerable period of time by authors differing in gender	 regional origin	 social class and ethnicity) can be seen as part of a relatively unified African American literary tradition.</p>"	1998.5
243614	Modern African American Poetry	Fall	1997	Afro-American Studies	Afro-American Studies	AFROAM	Afro-American Studies	Seminar	122207	"<p>This course surveys African American poetry from Paul Laurence Dunbar to Queen Latifah. Among the issues the course takes up are the intersection of literacy and orality	 the question of audience	 the relation of ^'^'high'' culture	 ^'^'folk'' culture and ^'^'popular'' culture	 constructions of modernity and modernism (and post-modernism)	 the documentation of the ^'^'real'' or the ^'^'authentic	'' and the degree to which the works we study (written over a considerable period of time by authors differing in gender	 regional origin	 social class and ethnicity) can be seen as part of a relatively unified African American literary tradition.</p>"	1997.5
2237	"Intermediate Bosnian	 Croatian	 and Serbian I"	Fall	2017	"Bosnian	 Croatian	 and Serbian"	Slavic Languages and Literatures	BCS	Slavic Languages and Literatures	Lecture	110074	" 	Part one of a two-part intermediate course in modern Bosnian	 Croatian	 and Serbian (BCS) language and culture for students with previous study of the language. Further development of vocabulary and oral expression within a comprehensive review of BCS grammar. All four major communicative skills (speaking	 listening comprehension	 reading	 writing) are stressed as students learn to use the language both as a means of communication and as a tool for reading and research. Systematic study of word formation and other strategies are taught to help free students from excessive dependence on the dictionary and develop confidence in reading.<p>The two-part course prepares students for continued study of BCS in advanced-level courses and for study or travel abroad.</p> <p>&nbsp;</p>"	2017.5
2238	"Intermediate Bosnian	 Croatian	 and Serbian I"	Fall	2018	"Bosnian	 Croatian	 and Serbian"	Slavic Languages and Literatures	BCS	Slavic Languages and Literatures	Lecture	110074	" 	Part one of a two-part intermediate course in modern Bosnian	 Croatian	 and Serbian (BCS) language and culture for students with previous study of the language. Further development of vocabulary and oral expression within a comprehensive review of BCS grammar. All four major communicative skills (speaking	 listening comprehension	 reading	 writing) are stressed as students learn to use the language both as a means of communication and as a tool for reading and research. Systematic study of word formation and other strategies are taught to help free students from excessive dependence on the dictionary and develop confidence in reading.<p>The two-part course prepares students for continued study of BCS in advanced-level courses and for study or travel abroad.</p> <p>&nbsp;</p>"	2018.5
344349	"Intermediate Bosnian	 Croatian	 and Serbian I"	Fall	2019	"Bosnian	 Croatian	 and Serbian"	Slavic Languages and Literatures	BCS	Slavic Languages and Literatures	Lecture	110074	" 	Part one of a two-part intermediate course in modern Bosnian	 Croatian	 and Serbian (BCS) language and culture for students with previous study of the language. Further development of vocabulary and oral expression within a comprehensive review of BCS grammar. All four major communicative skills (speaking	 listening comprehension	 reading	 writing) are stressed as students learn to use the language both as a means of communication and as a tool for reading and research. Systematic study of word formation and other strategies are taught to help free students from excessive dependence on the dictionary and develop confidence in reading.<p>The two-part course prepares students for continued study of BCS in advanced-level courses and for study or travel abroad.</p> <p>&nbsp;</p>"	2019.5
165056	"Intermediate Bosnian	 Croatian	 and Serbian II"	Spring	2020	"Bosnian	 Croatian	 and Serbian"	Slavic Languages and Literatures	BCS	Slavic Languages and Literatures	Lecture	205525	"<p>Part&nbsp;two of a two-part intermediate course in modern Bosnian	 Croatian	 and Serbian (BCS) language and culture for students with previous study of the language. Further development of vocabulary and oral expression within a comprehensive review of BCS grammar. All four major communicative skills (speaking	 listening comprehension	 reading	 writing) are stressed as students learn to use the language both as a means of communication and as a tool for reading and research. Systematic study of word formation and other strategies are taught to help free students from excessive dependence on the dictionary and develop confidence in reading.</p><p> The two-part course prepares students for continued study of BCS in advanced-level courses and for study or travel abroad.</p>"	2020
35459	"Intermediate Bosnian	 Croatian	 and Serbian II"	Spring	2018	"Bosnian	 Croatian	 and Serbian"	Slavic Languages and Literatures	BCS	Slavic Languages and Literatures	Lecture	205525	"<p>Part&nbsp;two of a two-part intermediate course in modern Bosnian	 Croatian	 and Serbian (BCS) language and culture for students with previous study of the language. Further development of vocabulary and oral expression within a comprehensive review of BCS grammar. All four major communicative skills (speaking	 listening comprehension	 reading	 writing) are stressed as students learn to use the language both as a means of communication and as a tool for reading and research. Systematic study of word formation and other strategies are taught to help free students from excessive dependence on the dictionary and develop confidence in reading.</p><p> The two-part course prepares students for continued study of BCS in advanced-level courses and for study or travel abroad.</p>"	2018
35460	"Intermediate Bosnian	 Croatian	 and Serbian II"	Spring	2019	"Bosnian	 Croatian	 and Serbian"	Slavic Languages and Literatures	BCS	Slavic Languages and Literatures	Lecture	205525	"<p>Part&nbsp;two of a two-part intermediate course in modern Bosnian	 Croatian	 and Serbian (BCS) language and culture for students with previous study of the language. Further development of vocabulary and oral expression within a comprehensive review of BCS grammar. All four major communicative skills (speaking	 listening comprehension	 reading	 writing) are stressed as students learn to use the language both as a means of communication and as a tool for reading and research. Systematic study of word formation and other strategies are taught to help free students from excessive dependence on the dictionary and develop confidence in reading.</p><p> The two-part course prepares students for continued study of BCS in advanced-level courses and for study or travel abroad.</p>"	2019
12449	Introduction to Catalan	Fall	2016	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	114279	"<p>An introductory course in spoken and written Catalan	 the language of approximately ten million people in Spain	 France	 Italy	 and Andorra	 and the most widely used of minoritized languages in Europe today. Native Catalan speakers include Antonio Gaudí	 Salvador Dalí	 Joan Miró	 Antoni Tàpies	 Mercè Rodoreda	 and Pau Casals. Emphasizing oral communication	 reading	 and writing	 offers students contact with contemporary Catalan culture.</p>"	2016.5
12450	Introduction to Catalan	Spring	2017	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	114279	"<p>An introductory course in spoken and written Catalan	 the language of approximately ten million people in Spain	 France	 Italy	 and Andorra	 and the most widely used of minoritized languages in Europe today. Native Catalan speakers include Antonio Gaudí	 Salvador Dalí	 Joan Miró	 Antoni Tàpies	 Mercè Rodoreda	 and Pau Casals. Emphasizing oral communication	 reading	 and writing	 offers students contact with contemporary Catalan culture.</p>"	2017
39814	Catalan Language and Culture: a Multimedia Approach	Spring	2020	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	122352	"<p>Intermediate course introducing students to Catalan culture and boosting their oral and written skills through a wide range of resources	 such as Internet	 television	 radio	 and press. Students will get a taste of various aspects of Catalan culture: art	 cinema	 music	 literature	 traditions	 cuisine	 history	 and more.</p>"	2020
21583	Catalan Language and Culture: a Multimedia Approach	Spring	2017	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	122352	"<p>Intermediate course introducing students to Catalan culture and boosting their oral and written skills through a wide range of resources	 such as Internet	 television	 radio	 and press. Students will get a taste of various aspects of Catalan culture: art	 cinema	 music	 literature	 traditions	 cuisine	 history	 and more.</p>"	2017
21584	Catalan Language and Culture: a Multimedia Approach	Spring	2018	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	122352	"<p>Intermediate course introducing students to Catalan culture and boosting their oral and written skills through a wide range of resources	 such as Internet	 television	 radio	 and press. Students will get a taste of various aspects of Catalan culture: art	 cinema	 music	 literature	 traditions	 cuisine	 history	 and more.</p>"	2018
21585	Catalan Language and Culture: a Multimedia Approach	Spring	2019	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	122352	"<p>Intermediate course introducing students to Catalan culture and boosting their oral and written skills through a wide range of resources	 such as Internet	 television	 radio	 and press. Students will get a taste of various aspects of Catalan culture: art	 cinema	 music	 literature	 traditions	 cuisine	 history	 and more.</p>"	2019
110063	Catalan Language and Culture: a Multimedia Approach	Spring	2012	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	122352	"<p>Intermediate course introducing students to Catalan culture and boosting their oral and written skills through a wide range of resources	 such as Internet	 television	 radio	 and press. Students will get a taste of various aspects of Catalan culture: art	 cinema	 music	 literature	 traditions	 cuisine	 history	 and more. Conducted in Catalan. Not open to auditors. May not be taken Pass/Fail by undergraduates	 but may be taken Sat/Unsat by GSAS students. Catalan Ba	 basic knowledge of Catalan	 or permission of course head.</p>"	2012
152336	Catalan Language and Culture: a Multimedia Approach	Spring	2014	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	122352	"<p>Intermediate course introducing students to Catalan culture and boosting their oral and written skills through a wide range of resources	 such as Internet	 television	 radio	 and press. Students will get a taste of various aspects of Catalan culture: art	 cinema	 music	 literature	 traditions	 cuisine	 history	 and more. Conducted in Catalan. Not open to auditors. May not be taken Pass/Fail by undergraduates	 but may be taken Sat/Unsat by GSAS students.&nbsp;</p>"	2014
384504	Catalan Language and Culture: a Multimedia Approach	Spring	2010	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	122352	"<p>Intermediate course introducing students to Catalan culture and boosting their oral and written skills through a wide range of resources	 such as Internet	 television	 radio	 and press. Students will get a taste of various aspects of Catalan culture: art	 cinema	 music	 literature	 traditions	 cuisine	 history	 and more. Conducted in Catalan. May be taken Pass/Fail by undergraduates or Sat/Unsat by GSAS students. Catalan Ba	 basic knowledge of Catalan	 or permission of course head.</p>"	2010
21582	Catalan Language and Culture: a Multimedia Approach	Spring	2016	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	122352	"<p>Intermediate course introducing students to Catalan culture and boosting their oral and written skills through a wide range of resources	 such as Internet	 television	 radio	 and press. Students will get a taste of various aspects of Catalan culture: art	 cinema	 music	 literature	 traditions	 cuisine	 history	 and more.</p>"	2016
66777	Catalan Language and Culture: a Multimedia Approach	Spring	2009	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	122352	"<p>Intermediate course introducing students to Catalan culture and boosting their oral and written skills through a wide range of resources	 such as Internet	 television	 radio	 and press. Students will get a taste of various aspects of Catalan culture: art	 cinema	 music	 literature	 traditions	 cuisine	 history	 and more. Conducted in Catalan. May be taken Pass/Fail by undergraduates or Sat/Unsat by GSAS students. Catalan Ba	 basic knowledge of Catalan	 or permission of course head.</p>"	2009
214907	Catalan Language and Culture: a Multimedia Approach	Spring	2008	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	122352	"<p>Intermediate course introducing students to Catalan culture and boosting their oral and written skills through a wide range of resources	 such as Internet	 television	 radio	 and press. Students will get a taste of various aspects of Catalan culture: art	 cinema	 music	 literature	 traditions	 cuisine	 history	 and more. Conducted in Catalan. May be taken Pass/Fail by undergraduates or Sat/Unsat by GSAS students. Catalan Ba	 basic knowledge of Catalan	 or permission of course head.</p>"	2008
306078	Catalan Language and Culture: a Multimedia Approach	Spring	2013	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	122352	"<p>Intermediate course introducing students to Catalan culture and boosting their oral and written skills through a wide range of resources	 such as Internet	 television	 radio	 and press. Students will get a taste of various aspects of Catalan culture: art	 cinema	 music	 literature	 traditions	 cuisine	 history	 and more. Conducted in Catalan. Not open to auditors. May not be taken Pass/Fail by undergraduates	 but may be taken Sat/Unsat by GSAS students. Catalan Ba	 basic knowledge of Catalan	 or permission of course head.</p>"	2013
231661	Catalan Language and Culture: a Multimedia Approach	Spring	2015	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	122352	"<p>Intermediate course introducing students to Catalan culture and boosting their oral and written skills through a wide range of resources	 such as Internet	 television	 radio	 and press. Students will get a taste of various aspects of Catalan culture: art	 cinema	 music	 literature	 traditions	 cuisine	 history	 and more. Conducted in Catalan. Not open to auditors. May not be taken Pass/Fail by undergraduates	 but may be taken Sat/Unsat by GSAS students.&nbsp;</p>"	2015
236422	Catalan Language and Culture: a Multimedia Approach	Spring	2011	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	122352	"<p>Intermediate course introducing students to Catalan culture and boosting their oral and written skills through a wide range of resources	 such as Internet	 television	 radio	 and press. Students will get a taste of various aspects of Catalan culture: art	 cinema	 music	 literature	 traditions	 cuisine	 history	 and more. Conducted in Catalan. May be taken Pass/Fail by undergraduates or Sat/Unsat by GSAS students. Catalan Ba	 basic knowledge of Catalan	 or permission of course head.</p>"	2011
246511	Catalan Language and Culture: a Multimedia Approach	Spring	2007	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	122352	"<p>Intermediate course introducing students to Catalan culture and boosting their oral and writing skills through a wide range of resources: Internet	 television	 radio	 cinema	 and music. Activities include in-class and on-line discussion	 role-playing	 audio and video recordings	 and more. Conducted in Catalan. May be taken Pass/Fail by undergraduates or Sat/Unsat by GSAS students. Catalan Ba	 basic knowledge of Catalan	 or permission of course head.</p>"	2007
157890	Elementary Catalan	Spring	2000	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	112539	"<p>A basic course in Catalan	 the language of approximately six million people in parts of Spain	 France	 and Italy	 with its own rich literary and cultural traditions. Emphasizing oral communication	 reading and writing	 Catalan A will include a selection of literary and historical texts and will offer students contact with contemporary Catalunya through the press and Internet sites. At the end of the course students should be able to hold a conversation in Catalan and should have gained an understanding of multiculturalism in the ""new"" Europe in which so-called regional languages are assuming renewed importance. Conducted in Catalan. Knowledge of another Romance language is useful but not essential.</p>"	2000
49083	Elementary Catalan	Fall	2000	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	112539	"<p>A basic course in Catalan	 the language of approximately six million people in parts of Spain	 France	 and Italy	 with its own rich literary and cultural traditions. Emphasizing oral communication	 reading and writing	 Catalan A will include a selection of literary and historical texts and will offer students contact with contemporary Catalunya through the press and Internet sites. At the end of the course students should be able to hold a conversation in Catalan and should have gained an understanding of multiculturalism in the ``new'' Europe in which so-called regional languages are assuming renewed importance. Conducted in Catalan. Knowledge of another Romance language is useful but not essential.</p>"	2000.5
290336	Elementary Catalan	Spring	2001	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	112539	"<p>A basic course in Catalan	 the language of approximately six million people in parts of Spain	 France	 and Italy	 with its own rich literary and cultural traditions. Emphasizing oral communication	 reading and writing	 Catalan A will include a selection of literary and historical texts and will offer students contact with contemporary Catalunya through the press and Internet sites. At the end of the course students should be able to hold a conversation in Catalan and should have gained an understanding of multiculturalism in the ``new'' Europe in which so-called regional languages are assuming renewed importance. Conducted in Catalan. Knowledge of another Romance language is useful but not essential.</p>"	2001
206070	Elementary Catalan	Fall	1999	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	112539	"<p>A basic course in Catalan	 the language of approximately six million people in parts of Spain	 France	 and Italy	 with its own rich literary and cultural traditions. Emphasizing oral communication	 reading and writing	 Catalan A will include a selection of literary and historical texts and will offer students contact with contemporary Catalunya through the press and Internet sites. At the end of the course students should be able to hold a conversation in Catalan and should have gained an understanding of multiculturalism in the ""new"" Europe in which so-called regional languages are assuming renewed importance. Conducted in Catalan. Knowledge of another Romance language is useful but not essential.</p>"	1999.5
210069	Elementary Catalan I	Fall	2001	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	114279	"<p>A basic introductory course in Catalán	 the language of approximately six million people in parts of Spain	 France	 and Italy	 with its own rich literary and cultural traditions. Emphasizing oral communication	 reading	 and writing	 Catalán Aa will include a selection of literary and historical texts and will offer students contact with contemporary Catalonia through the press and Internet sites. Conducted in Catalan. Knowledge of another Romance language is useful but not essential.</p>"	2001.5
163506	Introduction to Catalan	Fall	2013	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	114279	"<p>An introductory course in spoken and written Catalan	 the language of approximately ten million people in Spain	 France	 Italy	 and Andorra	 and the most widely used of minoritized languages in Europe today. Native Catalan speakers include Antonio Gaudí	 Salvador Dalí	 Joan Miró	 Antoni Tàpies	 Mercè Rodoreda	 and Pau Casals. Emphasizing oral communication	 reading	 and writing	 offers students contact with contemporary Catalan culture. Conducted in Catalan. Knowledge of another Romance language is useful but not essential. Not open to auditors. May not be taken Pass/Fail	 but may be taken Sat/Unsat by GSAS students.</p>"	2013.5
185182	Introduction to Catalan	Spring	2000	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	114279	"<p>A basic introductory course in Catalan	 the language of approximately six million people in parts of Spain	 France	 and Italy	 with its own rich literary and cultural traditions. Emphasizing oral communication	 reading	 and writing	 Catalan Ba will include a selection of literary and historical texts and will offer students contact with contemporary Catalonia through the press and Internet sites. The course will cover approximately two-thirds of the material normally covered in first year Catalan. Conducted in Catalan. Knowledge of another Romance language is useful but not essential.</p>"	2000
142069	Introduction to Catalan	Spring	2001	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	114279	"<p>A basic introductory course in Catalan	 the language of approximately six million people in parts of Spain	 France	 and Italy	 with its own rich literary and cultural traditions. Emphasizing oral communication	 reading	 and writing	 Catalan Ba will include a selection of literary and historical texts and will offer students contact with contemporary Catalonia through the press and Internet sites. The course will cover approximately two-thirds of the material normally covered in first year Catalan. Conducted in Catalan. Knowledge of another Romance language is useful but not essential.</p>"	2001
143653	Introduction to Catalan	Spring	2005	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	114279	"<p>An introductory course in spoken and written Catalan	 the language of approximately ten million people in Spain	 France	 Italy	 and Andorra	 and the most widely used of minoritized languages in Europe today. Antonio Gaudí	 Salvador Dalí	 Joan Miró	 Antoni Tàpies	 Mercè Rodoreda and Pau Casals were native Catalan speakers. Emphasizing oral communication	 reading	 and writing	 Catalan Ba will offer students contact with contemporary Catalan culture	 particularly that of Barcelona	 through the press and Internet. Conducted in Catalan. Knowledge of another Romance language is useful but not essential. May be taken Pass/Fail by undergraduates or Sat/Unsat by GSAS students.</p>"	2005
156862	Introduction to Catalan	Spring	2006	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	114279	"<p>An introductory course in spoken and written Catalan	 the language of approximately ten million people in Spain	 France	 Italy	 and Andorra	 and the most widely used of minoritized languages in Europe today. Antonio Gaudí	 Salvador Dalí	 Joan Miró	 Antoni Tàpies	 Mercè Rodoreda and Pau Casals were native Catalan speakers. Emphasizing oral communication	 reading	 and writing	 Catalan Ba will offer students contact with contemporary Catalan culture	 particularly that of Barcelona	 through the press and Internet. Conducted in Catalan. Knowledge of another Romance language is useful but not essential. May be taken Pass/Fail by undergraduates or Sat/Unsat by GSAS students.</p>"	2006
100831	Introduction to Catalan	Spring	2003	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	114279	"<p>An introductory course in spoken and written Catalan	 the language of approximately ten million people in Spain	 France	 Italy	 and Andorra	 and the most widely used of minoritized languages in Europe today. Antonio Gaudí	 Salvador Dalí	 Joan Miró	 Antoni Tàpies	 Mercè Rodoreda and Pau Casals were native Catalan speakers. Emphasizing oral communication	 reading	 and writing	 Catalan Ba will offer students contact with contemporary Catalan culture	 particularly that of Barcelona	 through the press and Internet. Conducted in Catalan. Knowledge of another Romance language is useful but not essential. May be taken Pass/Fail by undergraduates or Sat/Unsat by GSAS students.</p>"	2003
104235	Introduction to Catalan	Fall	2010	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	114279	"<p>An introductory course in spoken and written Catalan	 the language of approximately ten million people in Spain	 France	 Italy	 and Andorra	 and the most widely used of minoritized languages in Europe today. Native Catalan speakers include Antonio Gaudí	 Salvador Dalí	 Joan Miró	 Antoni Tàpies	 Mercè Rodoreda	 and Pau Casals. Emphasizing oral communication	 reading	 and writing	 offers students contact with contemporary Catalan culture. Conducted in Catalan. Knowledge of another Romance language is useful but not essential. May be taken Pass/Fail by undergraduates or Sat/Unsat by GSAS students.</p>"	2010.5
395071	Introduction to Catalan	Spring	2004	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	114279	"<p>An introductory course in spoken and written Catalan	 the language of approximately ten million people in Spain	 France	 Italy	 and Andorra	 and the most widely used of minoritized languages in Europe today. Antonio Gaudí	 Salvador Dalí	 Joan Miró	 Antoni Tàpies	 Mercè Rodoreda and Pau Casals were native Catalan speakers. Emphasizing oral communication	 reading	 and writing	 Catalan Ba will offer students contact with contemporary Catalan culture	 particularly that of Barcelona	 through the press and Internet. Conducted in Catalan. Knowledge of another Romance language is useful but not essential. May be taken Pass/Fail by undergraduates or Sat/Unsat by GSAS students.</p>"	2004
61892	Introduction to Catalan	Fall	2009	Catalan	Romance Languages and Literatures	CATALAN	Romance Languages and Literatures	Lecture	114279	"<p>An introductory course in spoken and written Catalan	 the language of approximately ten million people in Spain	 France	 Italy	 and Andorra	 and the most widely used of minoritized languages in Europe today. Native Catalan speakers include Antonio Gaudí	 Salvador Dalí	 Joan Miró	 Antoni Tàpies	 Mercè Rodoreda	 and Pau Casals. Emphasizing oral communication	 reading	 and writing	 offers students contact with contemporary Catalan culture. Conducted in Catalan. Knowledge of another Romance language is useful but not essential. May be taken Pass/Fail by undergraduates or Sat/Unsat by GSAS students.</p>"	2009.5
